state,district,precinct,party,candidate,votes
NORTH CAROLINA,1,1507,DEMOCRAT,G K BUTTERFIELD,149
NORTH CAROLINA,1,1507,REPUBLICAN,SANDY SMITH,137
NORTH CAROLINA,1,1507B,DEMOCRAT,G K BUTTERFIELD,51
NORTH CAROLINA,1,1507B,REPUBLICAN,SANDY SMITH,87
NORTH CAROLINA,1,1508A,DEMOCRAT,G K BUTTERFIELD,55
NORTH CAROLINA,1,1508A,REPUBLICAN,SANDY SMITH,104
NORTH CAROLINA,1,1508B,DEMOCRAT,G K BUTTERFIELD,153
NORTH CAROLINA,1,1508B,REPUBLICAN,SANDY SMITH,193
NORTH CAROLINA,1,1509,DEMOCRAT,G K BUTTERFIELD,190
NORTH CAROLINA,1,1509,REPUBLICAN,SANDY SMITH,209
NORTH CAROLINA,1,1512A,DEMOCRAT,G K BUTTERFIELD,296
NORTH CAROLINA,1,1512A,REPUBLICAN,SANDY SMITH,226
NORTH CAROLINA,1,16,DEMOCRAT,G K BUTTERFIELD,104
NORTH CAROLINA,1,16,REPUBLICAN,SANDY SMITH,210
NORTH CAROLINA,1,17,DEMOCRAT,G K BUTTERFIELD,91
NORTH CAROLINA,1,17,REPUBLICAN,SANDY SMITH,9
NORTH CAROLINA,1,18,DEMOCRAT,G K BUTTERFIELD,100
NORTH CAROLINA,1,18,REPUBLICAN,SANDY SMITH,39
NORTH CAROLINA,1,1920,DEMOCRAT,G K BUTTERFIELD,246
NORTH CAROLINA,1,1920,REPUBLICAN,SANDY SMITH,39
NORTH CAROLINA,1,2,DEMOCRAT,G K BUTTERFIELD,207
NORTH CAROLINA,1,2,REPUBLICAN,SANDY SMITH,520
NORTH CAROLINA,1,21,DEMOCRAT,G K BUTTERFIELD,103
NORTH CAROLINA,1,21,REPUBLICAN,SANDY SMITH,74
NORTH CAROLINA,1,22,DEMOCRAT,G K BUTTERFIELD,92
NORTH CAROLINA,1,22,REPUBLICAN,SANDY SMITH,73
NORTH CAROLINA,1,23,DEMOCRAT,G K BUTTERFIELD,93
NORTH CAROLINA,1,23,REPUBLICAN,SANDY SMITH,170
