feat1,feat2,subgroup_trend,subgroup,subgroup_trend_strength,group_feat,trend_type,agg_trend,agg_trend_strength,distance,SP_thresh0.2
decision,decision_race,0.8894472361809045,W,1,race,binary_tpr,0.848605577689243,1,0.0481279637624743,False
decision,decision_noise,0.65,0,1,department,binary_ppv,0.7597402597402597,1,0.14444444444444438,False
decision,decision_noise,0.5666666666666667,1,1,department,binary_ppv,0.7597402597402597,1,0.2541310541310541,True
decision,decision_noise,0.8285714285714286,2,1,department,binary_ppv,0.7597402597402597,1,0.09059829059829072,False
decision,decision_noise,0.7980295566502463,3,1,department,binary_ppv,0.7597402597402597,1,0.050397877984085016,False
decision,decision_noise,0.7796610169491526,F,1,gender,binary_ppv,0.7597402597402597,1,0.02622048384760256,False
decision,decision_noise,0.7473684210526316,M,1,gender,binary_ppv,0.7597402597402597,1,0.016284300494826764,False
decision,decision_noise,0.8,B,1,race,binary_ppv,0.7597402597402597,1,0.052991452991453025,False
decision,decision_noise,0.7714285714285715,H,1,race,binary_ppv,0.7597402597402597,1,0.015384615384615552,False
decision,decision_noise,0.7540322580645161,W,1,race,binary_ppv,0.7597402597402597,1,0.00751309622277363,False
decision,decision_gender,0.5,0,1,department,binary_ppv,0.6304985337243402,1,0.2069767441860465,True
decision,decision_gender,0.27906976744186046,1,1,department,binary_ppv,0.6304985337243402,1,0.5573823688480259,True
decision,decision_gender,0.6363636363636364,2,1,department,binary_ppv,0.6304985337243402,1,0.009302325581395321,False
decision,decision_gender,0.7307692307692307,3,1,department,binary_ppv,0.6304985337243402,1,0.15903398926654733,False
decision,decision_gender,0.5266666666666666,F,1,gender,binary_ppv,0.6304985337243402,1,0.1646821705426358,False
decision,decision_gender,0.7120418848167539,M,1,gender,binary_ppv,0.6304985337243402,1,0.1293315475465724,False
decision,decision_gender,0.5675675675675675,B,1,race,binary_ppv,0.6304985337243402,1,0.09981143934632308,False
decision,decision_gender,0.6666666666666666,H,1,race,binary_ppv,0.6304985337243402,1,0.05736434108527133,False
decision,decision_gender,0.6339622641509434,W,1,race,binary_ppv,0.6304985337243402,1,0.0054936375603333865,False
decision,decision_race,0.6153846153846154,0,1,department,binary_ppv,0.6719242902208202,1,0.08414590104730946,False
decision,decision_race,0.425,1,1,department,binary_ppv,0.6719242902208202,1,0.36748826291079817,True
decision,decision_race,0.6052631578947368,2,1,department,binary_ppv,0.6719242902208202,1,0.09920929083271568,False
decision,decision_race,0.745,3,1,department,binary_ppv,0.6719242902208202,1,0.10875586854460084,False
decision,decision_race,0.6086956521739131,F,1,gender,binary_ppv,0.6719242902208202,1,0.09410083690549087,False
decision,decision_race,0.7206703910614525,M,1,gender,binary_ppv,0.6719242902208202,1,0.07254701392713803,False
decision,decision_race,0.3157894736842105,B,1,race,binary_ppv,0.6719242902208202,1,0.5300222386953299,True
decision,decision_race,0.5217391304347826,H,1,race,binary_ppv,0.6719242902208202,1,0.22351500306184946,True
decision,decision_race,0.759656652360515,W,1,race,binary_ppv,0.6719242902208202,1,0.13056882064921727,False
