state,district2010,district2020,precinct,party,candidate,votes
WASHINGTON,2,2,ARLINGTON 16,DEMOCRAT,RICK LARSEN,317
WASHINGTON,2,2,ARLINGTON 16,REPUBLICAN,TIMOTHY S HAZELO,364
WASHINGTON,2,2,ARLINGTON 17,DEMOCRAT,RICK LARSEN,11
WASHINGTON,2,2,ARLINGTON 17,REPUBLICAN,TIMOTHY S HAZELO,5
WASHINGTON,2,2,ARLINGTON 2,DEMOCRAT,RICK LARSEN,253
WASHINGTON,2,2,ARLINGTON 2,REPUBLICAN,TIMOTHY S HAZELO,235
WASHINGTON,2,2,ARLINGTON 3,DEMOCRAT,RICK LARSEN,260
WASHINGTON,2,2,ARLINGTON 3,REPUBLICAN,TIMOTHY S HAZELO,251
WASHINGTON,2,2,ARLINGTON 4,DEMOCRAT,RICK LARSEN,374
WASHINGTON,2,2,ARLINGTON 4,REPUBLICAN,TIMOTHY S HAZELO,394
WASHINGTON,2,2,ARLINGTON 5,DEMOCRAT,RICK LARSEN,385
WASHINGTON,2,2,ARLINGTON 5,REPUBLICAN,TIMOTHY S HAZELO,393
WASHINGTON,2,2,ARLINGTON 6,DEMOCRAT,RICK LARSEN,276
WASHINGTON,2,2,ARLINGTON 6,REPUBLICAN,TIMOTHY S HAZELO,371
WASHINGTON,2,2,ARLINGTON 7,DEMOCRAT,RICK LARSEN,340
WASHINGTON,2,2,ARLINGTON 7,REPUBLICAN,TIMOTHY S HAZELO,420
WASHINGTON,2,2,ARLINGTON 8,DEMOCRAT,RICK LARSEN,257
WASHINGTON,2,2,ARLINGTON 8,REPUBLICAN,TIMOTHY S HAZELO,306
WASHINGTON,2,2,ARLINGTON 9,DEMOCRAT,RICK LARSEN,458
WASHINGTON,2,2,ARLINGTON 9,REPUBLICAN,TIMOTHY S HAZELO,413
WASHINGTON,2,2,ASH,DEMOCRAT,RICK LARSEN,562
WASHINGTON,2,2,ASH,REPUBLICAN,TIMOTHY S HAZELO,228
WASHINGTON,2,2,ASHFORD,DEMOCRAT,RICK LARSEN,286
WASHINGTON,2,2,ASHFORD,REPUBLICAN,TIMOTHY S HAZELO,155
WASHINGTON,2,2,ATLAS,DEMOCRAT,RICK LARSEN,488
WASHINGTON,2,2,ATLAS,REPUBLICAN,TIMOTHY S HAZELO,208
WASHINGTON,2,2,AVALON,DEMOCRAT,RICK LARSEN,370
WASHINGTON,2,2,AVALON,REPUBLICAN,TIMOTHY S HAZELO,145
WASHINGTON,2,2,AVON,DEMOCRAT,RICK LARSEN,356
WASHINGTON,2,2,AVON,REPUBLICAN,TIMOTHY S HAZELO,303
WASHINGTON,2,2,BAY VIEW,DEMOCRAT,RICK LARSEN,300
WASHINGTON,2,2,BAY VIEW,REPUBLICAN,TIMOTHY S HAZELO,260
WASHINGTON,2,2,BELFAST,DEMOCRAT,RICK LARSEN,168
WASHINGTON,2,2,BELFAST,REPUBLICAN,TIMOTHY S HAZELO,244
WASHINGTON,2,2,BEVERLY,DEMOCRAT,RICK LARSEN,419
WASHINGTON,2,2,BEVERLY,REPUBLICAN,TIMOTHY S HAZELO,183
WASHINGTON,2,2,BLAKELY &AMP; OUTER IS,DEMOCRAT,RICK LARSEN,23
WASHINGTON,2,2,BLAKELY &AMP; OUTER IS,REPUBLICAN,TIMOTHY S HAZELO,26
WASHINGTON,2,2,BLANCHARD,DEMOCRAT,RICK LARSEN,471
WASHINGTON,2,2,BLANCHARD,REPUBLICAN,TIMOTHY S HAZELO,321
WASHINGTON,2,2,BOEING,DEMOCRAT,RICK LARSEN,216
WASHINGTON,2,2,BOEING,REPUBLICAN,TIMOTHY S HAZELO,258
WASHINGTON,2,2,BOW,DEMOCRAT,RICK LARSEN,485
WASHINGTON,2,2,BOW,REPUBLICAN,TIMOTHY S HAZELO,428
WASHINGTON,2,2,BRIER 1,DEMOCRAT,RICK LARSEN,399
WASHINGTON,2,2,BRIER 1,REPUBLICAN,TIMOTHY S HAZELO,187
WASHINGTON,2,2,BRIER 2,DEMOCRAT,RICK LARSEN,306
WASHINGTON,2,2,BRIER 2,REPUBLICAN,TIMOTHY S HAZELO,155
WASHINGTON,2,2,BRIER 3,DEMOCRAT,RICK LARSEN,536
WASHINGTON,2,2,BRIER 3,REPUBLICAN,TIMOTHY S HAZELO,249
WASHINGTON,2,2,BRIER 4,DEMOCRAT,RICK LARSEN,402
WASHINGTON,2,2,BRIER 4,REPUBLICAN,TIMOTHY S HAZELO,180
