variable,dtype,var_type,role,isCount,weighting_var
PAT,int64,ordinal,"['independent', 'dependent']",FALSE,
X2.Point.Conversions,int64,ordinal,"['independent', 'dependent']",FALSE,
Defensive.Points,int64,binary,"['independent', 'dependent']",FALSE,
Feild.Goals,int64,ordinal,"['independent', 'dependent']",FALSE,
Safety,int64,ordinal,"['independent', 'dependent']",FALSE,
Total.Points,int64,ordinal,"['independent', 'dependent']",FALSE,
Points.Per.Game,float64,continuous,"['independent', 'dependent']",FALSE,
Tackle.for.Loss.Rank,int64,ordinal,"['independent', 'splitby']",FALSE,
Solo.Tackle.For.Loss,int64,ordinal,"['independent', 'dependent']",FALSE,
Assist.Tackle.For.Loss,int64,ordinal,"['independent', 'dependent']",FALSE,
Tackle.for.Loss.Yards,int64,ordinal,"['independent', 'dependent']",FALSE,
Total.Tackle.For.Loss,int64,ordinal,"['independent', 'dependent']",FALSE,
Tackle.For.Loss.Per.Game,float64,continuous,"['independent', 'dependent']",FALSE,
X3rd.Down.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
X3rd.Attempts,int64,ordinal,"['independent', 'dependent']",FALSE,
X3rd.Conversions,int64,ordinal,"['independent', 'dependent']",FALSE,
X3rd.Percent,float64,continuous,"['independent', 'dependent']",FALSE,
X3rd.Down.Def.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.3rd.Conversion,int64,ordinal,"['independent', 'dependent']",FALSE,
Opp.3rd.Attempt,int64,ordinal,"['independent', 'dependent']",FALSE,
Opponent.3rd.Percent,float64,continuous,"['independent', 'dependent']",FALSE,
Time.of.Possession.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Time.of.Possession,object,categorical,['ignore'],FALSE,
Average.Time.of.Possession.per.Game,object,categorical,['ignore'],FALSE,
Turnover.Rank,int64,ordinal,"['independent', 'dependent']",FALSE,
Fumbles.Recovered,int64,ordinal,"['independent', 'dependent']",FALSE,
Opponents.Intercepted,int64,ordinal,"['independent', 'dependent']",FALSE,
Turnovers.Gain,int64,ordinal,"['independent', 'dependent']",FALSE,
Fumbles.Lost,int64,ordinal,"['prediction', 'groundtruth']",FALSE,
Interceptions.Thrown.y,int64,ordinal,"['independent', 'dependent']",FALSE,
Turnovers.Lost,int64,ordinal,"['independent', 'dependent']",FALSE,
Turnover.Margin,int64,ordinal,"['independent', 'dependent']",FALSE,
Avg.Turnover.Margin.per.Game,float64,continuous,"['independent', 'dependent']",FALSE,
Conference,object,categorical,['splitby'],FALSE,
WinProb,float64,continuous,"['independent', 'dependent']",FALSE,
