state,district,precinct,party,candidate,votes
FLORIDA,1,5_5 MCLELLAN,DEMOCRAT,PHIL EHR,17
FLORIDA,1,5_5 MCLELLAN,REPUBLICAN,MATT GAETZ,93
FLORIDA,1,5_GRITNEY,DEMOCRAT,PHIL EHR,37
FLORIDA,1,5_GRITNEY,REPUBLICAN,MATT GAETZ,416
FLORIDA,1,5_PRECINCT 5,DEMOCRAT,PHIL EHR,740
FLORIDA,1,5_PRECINCT 5,REPUBLICAN,MATT GAETZ,1737
FLORIDA,1,60_PRECINCT 60,DEMOCRAT,PHIL EHR,589
FLORIDA,1,60_PRECINCT 60,REPUBLICAN,MATT GAETZ,128
FLORIDA,1,61_PRECINCT 61,DEMOCRAT,PHIL EHR,980
FLORIDA,1,61_PRECINCT 61,REPUBLICAN,MATT GAETZ,1121
FLORIDA,1,62_PRECINCT 62,DEMOCRAT,PHIL EHR,1253
FLORIDA,1,62_PRECINCT 62,REPUBLICAN,MATT GAETZ,1185
FLORIDA,1,63_PRECINCT 63,DEMOCRAT,PHIL EHR,725
FLORIDA,1,63_PRECINCT 63,REPUBLICAN,MATT GAETZ,50
FLORIDA,1,64_PRECINCT 64,DEMOCRAT,PHIL EHR,1089
FLORIDA,1,64_PRECINCT 64,REPUBLICAN,MATT GAETZ,1101
FLORIDA,1,67_PRECINCT 67,DEMOCRAT,PHIL EHR,1601
FLORIDA,1,67_PRECINCT 67,REPUBLICAN,MATT GAETZ,3178
FLORIDA,1,68_PRECINCT 68,DEMOCRAT,PHIL EHR,701
FLORIDA,1,68_PRECINCT 68,REPUBLICAN,MATT GAETZ,1129
FLORIDA,1,69_PRECINCT 69,DEMOCRAT,PHIL EHR,1925
FLORIDA,1,69_PRECINCT 69,REPUBLICAN,MATT GAETZ,1753
FLORIDA,1,6_06,DEMOCRAT,PHIL EHR,674
FLORIDA,1,6_06,REPUBLICAN,MATT GAETZ,2577
FLORIDA,1,6_6 RED ROCK,DEMOCRAT,PHIL EHR,12
FLORIDA,1,6_6 RED ROCK,REPUBLICAN,MATT GAETZ,91
FLORIDA,1,6_NOMA,DEMOCRAT,PHIL EHR,117
FLORIDA,1,6_NOMA,REPUBLICAN,MATT GAETZ,1148
FLORIDA,1,6_PRECINCT 6,DEMOCRAT,PHIL EHR,395
FLORIDA,1,6_PRECINCT 6,REPUBLICAN,MATT GAETZ,972
FLORIDA,1,70_PRECINCT 70,DEMOCRAT,PHIL EHR,1209
FLORIDA,1,70_PRECINCT 70,REPUBLICAN,MATT GAETZ,923
FLORIDA,1,71_PRECINCT 71,DEMOCRAT,PHIL EHR,746
FLORIDA,1,71_PRECINCT 71,REPUBLICAN,MATT GAETZ,632
