state,district2010,district2020,precinct,party,candidate,votes
OKLAHOMA,1,1,720049,DEMOCRAT,KOJO ASAMOA-CAESAR,216
OKLAHOMA,1,1,720049,REPUBLICAN,KEVIN HERN,131
OKLAHOMA,1,1,720050,DEMOCRAT,KOJO ASAMOA-CAESAR,217
OKLAHOMA,1,1,720050,REPUBLICAN,KEVIN HERN,151
OKLAHOMA,1,1,720051,DEMOCRAT,KOJO ASAMOA-CAESAR,338
OKLAHOMA,1,1,720051,REPUBLICAN,KEVIN HERN,235
OKLAHOMA,1,1,720052,DEMOCRAT,KOJO ASAMOA-CAESAR,460
OKLAHOMA,1,1,720052,REPUBLICAN,KEVIN HERN,505
OKLAHOMA,1,1,720053,DEMOCRAT,KOJO ASAMOA-CAESAR,343
OKLAHOMA,1,1,720053,REPUBLICAN,KEVIN HERN,518
OKLAHOMA,1,1,720054,DEMOCRAT,KOJO ASAMOA-CAESAR,402
OKLAHOMA,1,1,720054,REPUBLICAN,KEVIN HERN,475
OKLAHOMA,1,1,720055,DEMOCRAT,KOJO ASAMOA-CAESAR,247
OKLAHOMA,1,1,720055,REPUBLICAN,KEVIN HERN,345
OKLAHOMA,1,1,720056,DEMOCRAT,KOJO ASAMOA-CAESAR,270
OKLAHOMA,1,1,720056,REPUBLICAN,KEVIN HERN,355
OKLAHOMA,1,1,720057,DEMOCRAT,KOJO ASAMOA-CAESAR,86
OKLAHOMA,1,1,720057,REPUBLICAN,KEVIN HERN,210
OKLAHOMA,1,1,720058,DEMOCRAT,KOJO ASAMOA-CAESAR,91
OKLAHOMA,1,1,720058,REPUBLICAN,KEVIN HERN,229
OKLAHOMA,1,1,720059,DEMOCRAT,KOJO ASAMOA-CAESAR,141
OKLAHOMA,1,1,720059,REPUBLICAN,KEVIN HERN,248
OKLAHOMA,1,1,720060,DEMOCRAT,KOJO ASAMOA-CAESAR,302
OKLAHOMA,1,1,720060,REPUBLICAN,KEVIN HERN,288
OKLAHOMA,1,1,720061,DEMOCRAT,KOJO ASAMOA-CAESAR,323
OKLAHOMA,1,1,720061,REPUBLICAN,KEVIN HERN,411
OKLAHOMA,1,1,720062,DEMOCRAT,KOJO ASAMOA-CAESAR,365
OKLAHOMA,1,1,720062,REPUBLICAN,KEVIN HERN,591
OKLAHOMA,1,1,720063,DEMOCRAT,KOJO ASAMOA-CAESAR,174
OKLAHOMA,1,1,720063,REPUBLICAN,KEVIN HERN,185
OKLAHOMA,1,1,720064,DEMOCRAT,KOJO ASAMOA-CAESAR,316
OKLAHOMA,1,1,720064,REPUBLICAN,KEVIN HERN,351
OKLAHOMA,1,1,720065,DEMOCRAT,KOJO ASAMOA-CAESAR,218
OKLAHOMA,1,1,720065,REPUBLICAN,KEVIN HERN,482
OKLAHOMA,1,1,720066,DEMOCRAT,KOJO ASAMOA-CAESAR,179
OKLAHOMA,1,1,720066,REPUBLICAN,KEVIN HERN,388
OKLAHOMA,1,1,720067,DEMOCRAT,KOJO ASAMOA-CAESAR,192
OKLAHOMA,1,1,720067,REPUBLICAN,KEVIN HERN,378
OKLAHOMA,1,1,720068,DEMOCRAT,KOJO ASAMOA-CAESAR,218
OKLAHOMA,1,1,720068,REPUBLICAN,KEVIN HERN,262
OKLAHOMA,1,1,720069,DEMOCRAT,KOJO ASAMOA-CAESAR,397
OKLAHOMA,1,1,720069,REPUBLICAN,KEVIN HERN,660
OKLAHOMA,1,1,720070,DEMOCRAT,KOJO ASAMOA-CAESAR,86
