exporter,importer,sector,year,trade
USA,CAN,1,2012,5996.259090999999
USA,CAN,1,2013,6182.236318000001
USA,CAN,1,2014,6453.001035999999
USA,CAN,1,2015,6297.495402000001
USA,CAN,1,2016,6074.924245000001
USA,CAN,1,2017,6162.388099999997
USA,CAN,1,2018,6808.564931999999
USA,CAN,1,2019,6825.209869
USA,CAN,2,2010,8196.256687000001
USA,CAN,2,2011,8971.100278000002
USA,CAN,2,2012,8572.099944999998
USA,CAN,2,2013,11592.072213
USA,CAN,2,2014,19333.589339
USA,CAN,2,2015,12633.419211
USA,CAN,2,2016,9516.952394
USA,CAN,2,2017,12588.088384000002
USA,CAN,2,2018,15170.289577000001
USA,CAN,2,2019,15967.155714999999
USA,CAN,3,2010,176224.22007100002
USA,CAN,3,2011,199358.70779599994
USA,CAN,3,2012,213888.32149600002
USA,CAN,3,2013,215824.1635349999
USA,CAN,3,2014,218806.70421200004
USA,CAN,3,2015,197622.33983200003
USA,CAN,3,2016,187831.29727600008
USA,CAN,3,2017,196692.84958000004
USA,CAN,3,2018,206005.461491
USA,CAN,3,2019,199991.996022
USA,CAN,4,2010,57289.0
USA,CAN,4,2011,61897.0
USA,CAN,4,2012,65774.0
USA,CAN,4,2013,67546.0
USA,CAN,4,2014,65980.0
USA,CAN,4,2015,59816.0
USA,CAN,4,2016,60734.0
USA,CAN,4,2017,65108.0
USA,CAN,4,2018,68684.0
USA,CAN,4,2019,69393.0
USA,MEX,1,2010,7623.390678999999
USA,MEX,1,2011,10082.17872
USA,MEX,1,2012,9944.927923000001
USA,MEX,1,2013,8835.578094000002
USA,MEX,1,2014,9107.511245999998
USA,MEX,1,2015,8238.628525
USA,MEX,1,2016,8302.173716
USA,MEX,1,2017,8859.147286000003
USA,MEX,1,2018,9755.12856
USA,MEX,1,2019,9909.315189000003
USA,MEX,2,2010,2346.029718
USA,MEX,2,2011,3306.075567
USA,MEX,2,2012,3003.088729
USA,MEX,2,2013,3958.143877
USA,MEX,2,2014,4314.606610000001
USA,MEX,2,2015,3702.4900540000003
USA,MEX,2,2016,3923.0841629999995
USA,MEX,2,2017,6577.197730999999
USA,MEX,2,2018,8181.640589999999
USA,MEX,2,2019,7400.739269999999
USA,MEX,3,2010,133348.91781900002
USA,MEX,3,2011,158997.45467700012
USA,MEX,3,2012,170746.31321199995
USA,MEX,3,2013,172955.501545
