exporter,importer,sector,industry,year,trade
CHL,COL,1,1,2014,0.0
CAN,ARG,1,1,2018,0.0
CHL,PER,1,1,2016,0.0
MEX,CHL,1,1,2012,0.0
MEX,ARG,1,1,2019,0.0
MEX,ARG,1,1,2016,0.0
PER,COL,1,1,2016,0.0
CHL,USA,1,1,2010,0.0
CHL,PER,1,1,2018,0.0
MEX,ARG,1,1,2014,0.0
MEX,PER,1,1,2013,0.0
BRA,CAN,1,1,2014,0.0
BRA,COL,1,1,2014,0.0
MEX,COL,1,1,2014,0.0
CHL,ARG,1,1,2012,0.0
USA,ARG,1,1,2014,0.0
MEX,ARG,1,1,2018,0.0
PER,CAN,1,1,2015,0.0
BRA,CAN,1,1,2012,0.0
CHL,USA,1,1,2015,0.0
COL,USA,1,1,2010,0.0
BRA,ARG,1,1,2019,0.0
CHL,ARG,1,1,2018,0.0
BRA,CHL,1,1,2014,0.0
COL,USA,1,1,2016,0.0
ARG,PER,1,1,2014,0.0
BRA,CHL,1,1,2013,0.0
COL,USA,1,1,2012,0.0
COL,PER,1,1,2018,0.0
COL,PER,1,1,2011,0.0
COL,USA,1,1,2015,0.0
CHL,ARG,1,1,2014,0.0
BRA,CHL,1,1,2019,0.0
CHL,PER,1,1,2015,0.0
CHL,ARG,1,1,2011,0.0
CHL,PER,1,1,2013,0.0
CHL,PER,1,1,2010,0.0
MEX,COL,1,1,2013,0.0
CHL,COL,1,1,2015,0.0
CHL,ARG,1,1,2019,0.0
ARG,MEX,1,1,2014,0.0
CAN,ARG,1,1,2014,0.0
CAN,BRA,1,1,2015,0.0
CHL,COL,1,1,2019,0.0
CHL,COL,1,1,2018,0.0
COL,USA,1,1,2018,0.0
PER,BRA,1,1,2014,0.0
CAN,ARG,1,1,2019,0.0
MEX,COL,1,1,2010,0.0
BRA,USA,1,1,2019,0.0
BRA,CHL,1,1,2018,0.0
BRA,USA,1,1,2018,0.0
BRA,COL,1,1,2019,0.0
BRA,CHL,1,1,2012,0.0
BRA,CAN,1,1,2013,0.0
CHL,PER,1,1,2012,0.0
PER,BRA,1,1,2019,0.0
BRA,USA,1,1,2016,0.0
MEX,COL,1,1,2017,0.0
CHL,COL,1,1,2011,0.0
BRA,COL,1,1,2017,0.0
COL,PER,1,1,2012,0.0
COL,PER,1,1,2017,0.0
COL,USA,1,1,2011,0.0
CAN,ARG,1,1,2017,0.0
MEX,CAN,1,1,2014,0.0
COL,PER,1,1,2016,0.0
BRA,CHL,1,1,2015,0.0
CHL,ARG,1,1,2017,0.0
ARG,USA,1,1,2011,0.0
PER,BRA,1,1,2011,0.0
PER,BRA,1,1,2017,0.0
ARG,USA,1,1,2010,0.0
ARG,COL,1,1,2014,0.0
CAN,ARG,1,1,2015,0.0
BRA,COL,1,1,2013,0.0
CHL,COL,1,1,2017,0.0
BRA,CAN,1,1,2017,0.0
ARG,ARG,1,2,2010,285.948
BRA,ARG,1,2,2010,1.507
USA,ARG,1,2,2010,0.015
BRA,ARG,1,2,2011,2.317
ARG,ARG,1,2,2011,367.234
USA,ARG,1,2,2011,0.03
USA,ARG,1,2,2012,0.017
CHL,ARG,1,2,2012,0.013
ARG,ARG,1,2,2012,398.355
BRA,ARG,1,2,2012,1.278
BRA,ARG,1,2,2013,0.91
ARG,ARG,1,2,2013,417.166
USA,ARG,1,2,2013,0.008
BRA,ARG,1,2,2014,0.415
ARG,ARG,1,2,2014,370.185
USA,ARG,1,2,2014,0.372
BRA,ARG,1,2,2015,0.526
ARG,ARG,1,2,2015,265.717
USA,ARG,1,2,2015,0.046
ARG,ARG,1,2,2016,155.432
CAN,ARG,1,2,2016,0.023
